                                        EMPRESA DE REPARTOS A DOMICILIO TP S. A.
                                            RELACION DE LOS PLATOS VENDIDOS
========================================================================================================================
                             CANTIDAD DE PLATOS                                          MONTOS RECAUDADOS
CODIGO   PRECIO      PREPARADOS   ATENDIDOS   NO ATENDIDOS      DESCUENTO       ESPERADO        BRUTO      RECIBIDO
15197     47.50          78          78            51            11.82%         3705.00         637.00       572.40
55338     22.90          77          61             0             9.46%         1763.30        4342.60       179.08
53814      9.90          76          76            44            10.91%          752.40        5139.70       171.50
77487     24.90          76          76            12             9.72%         1892.40        3547.46       162.91
11850     53.90          75          75             1             0.00%         4042.50        4392.00       318.00
15578     33.50          74          72             0             0.00%         2479.00        4714.50       540.60
77549     18.90          74          71             0            19.71%         1398.60        4043.40       250.61
77572     18.90          73          73            28             0.00%         1379.70        3047.89       482.48
11751      8.90          73          73            22             0.00%          649.70        5280.24       461.63
15142     52.90          72          63             0             7.47%         3808.80        3705.00      1630.11
31815     30.90          71          71            24             0.00%         2193.90         623.69      1176.60
39137     12.00          70          60             0             0.00%          840.00        2094.63      1743.00
77703     24.90          70          70            11             0.00%         1743.00         744.56       276.00
90758     25.90          68          53             0             7.08%         1761.20        1185.64      1305.30
77971     23.90          68          63             0             0.00%         1625.20        2529.12       231.00
15378     33.50          65          57             0             0.00%         2177.50        1372.70       213.53
55330     24.90          65          64             0             6.30%         1618.50        2412.00       222.80
11171     15.90          64          55             0            19.42%         1017.60        2728.80      1662.20
15950     43.90          62          62             1             8.90%         2721.80        1505.70      1189.76
11692     89.90          62          58             0            17.36%         5573.80        1389.64      1869.30
77214     22.90          57          57             1             0.00%         1305.30         841.50       958.40
73500     12.90          57          57            20             0.00%          735.30        1396.90       478.00
11471      8.90          57          57            63             0.00%          507.30        1128.89       866.64
39475     71.90          55          55            11            18.66%         3954.50        7094.40       470.01
15283     33.50          55          55            18             0.00%         1842.50         819.00      1733.14
15756     50.90          54          54             4             0.00%         2748.60        1664.98      1386.50
77156     22.90          54          54             0            13.52%         1236.60        4391.10       764.80
11620     15.90          53          51             0             0.00%          842.70        2904.36      3954.50
15745     48.90          50          50            43            14.48%         2445.00        1909.50       740.58
15921     29.50          48          47             0            16.09%         1416.00         631.69      3057.56
39864      7.00          48          44             0            10.52%          336.00        2445.00      1989.00
31644     33.90          48          40             0             0.00%         1627.20        1867.35      1046.79
15392     18.90          47          38             0             0.00%          888.30         752.40      1388.52
53991      3.90          47          42             0             0.00%          183.30        3483.16      2191.30
11731      8.90          46          46             1             0.00%          409.40        3683.67      2191.30
31796     31.90          43          40             0            19.94%         1371.70        2390.45       700.80
73410     12.90          42          32             0             0.00%          541.80        4042.50       508.50
53764      6.90          40          40             3            10.57%          276.00        2721.80       470.42
53477     15.90          40          36             0            13.60%          636.00        1721.45       349.80
15153     18.90          38          38            22            19.04%          718.20        1842.50       588.56
15611     46.90          36          36             4             0.00%         1688.40        3788.70       920.13
53939      4.90          35          35             4             0.00%          171.50        4275.60       590.40
11172     15.90          34          34             5             5.53%          540.60         504.82       292.60
15525     58.50          34          34            32            18.60%         1989.00        5000.54       163.80
39489      7.00          33          33            12             0.00%          231.00        1543.64       421.48
77691     23.90          33          32             0             0.00%          788.70         718.20       158.75
39141     21.90          32          32            25             6.80%          700.80        2041.80      1069.50
53760      6.90          31          31             2            10.76%          213.90         468.76        87.60
15760     34.50          31          31            11             0.00%         1069.50         412.80       831.30
39442     21.90          31          30             0            11.88%          678.90         393.14       744.08
53957     10.90          30          23             0             0.00%          327.00        2470.81        75.34
77762     23.90          29          20             0             0.00%          693.10        2599.10      1869.40
15926     49.90          28          22             0             5.90%         1397.20        5501.40      1789.32
11621     15.90          28          20             0            11.30%          445.20         507.30       325.50
11283     14.90          27          22             0            17.72%          402.30         608.40       511.00
90365     25.90          27          22             0             0.00%          699.30        1215.75       304.38
39987     15.50          26          21             0             0.00%          403.00         649.70      1017.98
39810     71.90          26          26             2             0.00%         1869.40        1379.70       718.20
53502     15.90          25          22             0            10.81%          397.50         530.22      3332.70
39896    128.90          25           9             0             0.00%         3222.50         636.90       822.50
15404     17.90          25          25             2             0.00%          447.50        2484.07       626.77
15488     16.90          25          13             0            16.67%          422.50         439.37       409.40
77894     32.90          25          25             1             5.74%          822.50        1935.00       374.99
15592     33.90          24          15             0             0.00%          813.60        2748.60       715.38
11500    128.90          23          17             0             0.00%         2964.70        1588.06      2670.62
15539     21.90          22           4             0            13.99%          481.80         422.21       810.90
15272     59.90          18          16             0             7.45%         1078.20        5214.20       754.10
15326     36.90          18          16             0            18.31%          664.20        3977.51      1735.30
15510     35.90          18          18             1            14.80%          646.20         657.00       720.00
15945     48.90          17          17             2             0.00%          831.30        1602.32      1688.40
77419     31.90          16           4             0             0.00%          510.40         127.60       447.50
========================================================================================================================
                                                                TOTALES:      226570.90      276821.78    110365.72
========================================================================================================================
